route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,8,93,Linkeroever,,1,,6,1,1
1,8,94,Linkeroever,,1,,6,1,1
1,8,95,Linkeroever,,1,,6,1,1
1,8,96,Linkeroever,,1,,6,1,1
1,8,97,Linkeroever,,1,,6,1,1
1,8,98,Linkeroever,,1,,6,1,1
1,8,99,Linkeroever,,1,,6,1,1
1,8,100,Linkeroever,,1,,6,1,1
1,8,101,Linkeroever,,1,,6,1,1
1,8,102,Linkeroever,,1,,6,1,1
1,8,103,Linkeroever,,1,,6,1,1
1,8,104,Linkeroever,,1,,6,1,1
1,8,105,Linkeroever,,1,,6,1,1
1,8,106,Linkeroever,,1,,6,1,1
1,8,107,Linkeroever,,1,,6,1,1
1,8,108,Linkeroever,,1,,6,1,1
1,10,109,Linkeroever,,1,,6,1,1
1,10,110,Linkeroever,,1,,6,1,1
1,10,111,Linkeroever,,1,,6,1,1
1,10,112,Linkeroever,,1,,6,1,1
1,10,113,Linkeroever,,1,,6,1,1
1,10,114,Linkeroever,,1,,6,1,1
