shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,51.224356564156835,4.391816854476929,1,
1,51.222192939111835,4.396827220916748,2,
2,51.14239039563231,4.325539469718933,1,
2,51.143117352310384,4.330909252166748,2,
3,51.17592281176437,4.324796497821808,1,
3,51.17546206184087,4.332008957862854,2,
5,51.17546206184087,4.332008957862854,1,
5,51.17592281176437,4.324796497821808,2,
6,51.222192939111835,4.396827220916748,1,
6,51.224356564156835,4.391816854476929,2,
7,51.143117352310384,4.330909252166748,1,
7,51.14239039563231,4.325539469718933,2,
