service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3,1,1,1,1,1,1,1,20181001,20210930
4,0,0,0,0,0,1,1,20181001,20210930
5,1,1,1,1,1,1,1,20181001,20210930
6,0,0,0,0,0,1,0,20181001,20210930
7,0,0,0,0,0,1,1,20181001,20210930
20,1,1,1,1,1,0,0,20181001,20210930
13,1,1,1,1,1,0,0,20181001,20210930
8,1,1,1,1,1,1,1,20181112,20210930
9,1,1,1,1,1,0,0,20181112,20210930
10,0,0,0,0,0,1,1,20181112,20210930
